date,confirm_add,confirm,heal,dead
02.27,1,1,0,0
02.28,1,2,0,0
02.29,1,3,0,0
03.01,0,3,0,0
03.02,0,3,0,0
03.03,0,3,0,0
03.04,0,3,0,0
03.05,0,3,0,0
03.06,6,9,0,0
03.07,0,9,0,0
03.08,4,13,0,0
03.09,2,15,0,0
03.10,0,15,0,0
03.11,8,23,0,0
03.12,1,24,0,0
03.13,1,25,0,0
03.14,5,30,0,0
03.15,0,30,0,0
03.16,3,33,0,0
03.17,0,33,0,0
03.18,5,38,0,0
03.19,2,40,1,0
03.20,3,43,1,0
03.21,4,47,1,0
03.22,7,54,3,0
03.23,7,54,3,0
03.24,13,67,9,0
03.25,6,73,9,0
03.26,4,77,10,0
03.27,4,81,13,0
03.28,4,85,14,0
03.29,5,90,18,0
03.30,8,98,18,0
03.31,12,110,21,0
04.01,5,115,23,0
04.02,15,130,26,0
04.03,18,148,27,0
04.04,9,157,28,1
04.05,13,170,36,2
04.06,18,188,36,2
04.07,7,195,45,3
04.08,13,208,48,3
04.09,6,214,50,3
04.10,16,230,54,3
04.11,4,234,56,3
04.12,18,252,63,3
04.13,14,266,67,3
04.14,30,296,68,3
04.15,10,306,69,3
04.16,30,336,74,3
04.17,34,370,79,3
04.18,15,385,84,3
04.19,9,394,86,4
04.20,5,399,93,4
04.21,9,408,95,4
04.22,3,411,98,5
04.23,9,420,111,5
04.24,11,431,132,5
04.25,25,456,139,5
04.26,29,485,139,6
04.27,11,496,149,6
04.28,15,511,156,6
04.29,6,517,168,6
04.30,22,539,178,6
05.01,27,566,184,6
05.02,16,582,207,8
05.03,0,582,207,8
05.04,11,593,223,9
05.05,11,604,240,9
05.06,6,610,269,9
05.07,5,615,275,9
05.08,8,623,288,10
05.09,3,626,297,10
05.10,9,635,309,10
05.11,3,638,317,11
05.12,1,639,349,11
05.13,8,647,372,11
05.14,5,652,383,12
05.15,19,671,393,12
05.16,6,677,419,12
05.17,18,695,425,12
05.18,6,701,432,12
05.19,1,702,456,12
05.20,11,713,475,12
05.21,8,721,485,12
05.22,2,723,495,12
05.23,5,728,509,12
05.24,2,730,522,12
05.25,1,731,526,12
05.26,1,732,537,12
05.27,3,735,557,12
05.28,3,738,573,12
05.29,8,746,576,12
05.30,11,757,600,12
05.31,26,783,605,12
06.01,11,794,624,12
06.02,2,796,634,12
06.03,0,796,634,13
06.04,5,801,644,13
06.05,4,805,650,13
06.06,3,808,663,13
06.07,1,809,674,13
06.08,1,810,683,13
06.09,8,818,686,13
06.10,4,822,690,13
06.11,9,831,694,13
06.12,12,843,697,13
06.13,8,851,702,13
06.14,13,864,703,14
06.15,15,879,704,14
06.16,0,879,724,14
06.17,9,888,731,14
06.18,5,893,739,14
06.19,3,896,741,14
06.20,2,898,752,14
06.21,8,906,755,14
06.22,2,908,761,14
06.23,3,911,761,14
06.24,3,914,771,14
06.25,3,917,776,14
06.26,2,919,780,14
06.27,2,921,781,14
06.28,3,924,785,15
06.29,2,926,791,15
06.30,2,928,794,15
07.01,3,931,794,15
07.02,8,939,817,15
07.03,4,943,821,15
07.04,3,946,825,15
07.05,5,951,828,15
07.06,2,953,830,15
07.07,5,958,838,15
07.08,5,963,841,15
07.09,5,968,844,15
07.10,5,973,846,15
07.11,8,981,851,15
07.12,5,986,857,15
07.13,9,995,857,15
07.14,4,999,870,15
07.15,5,1004,873,15
07.16,2,1006,883,15
07.17,4,1010,885,15
07.18,8,1018,895,15
07.19,10,1028,899,15
07.20,11,1039,900,16
07.21,10,1049,903,16
07.22,24,1073,907,16
