date,confirm_add,confirm,heal,dead
02.29,1,1,0,0
03.01,0,1,0,0
03.02,2,3,0,0
03.03,6,9,0,0
03.04,11,20,1,0
03.05,14,34,1,0
03.06,3,37,1,0
03.07,8,45,1,0
03.08,6,55,1,0
03.09,9,58,1,0
03.10,7,65,1,0
03.11,16,81,1,0
03.12,28,109,2,0
03.13,8,117,2,0
03.14,17,134,2,0
03.15,0,134,2,0
03.16,37,171,2,0
03.17,9,180,2,0
03.18,40,220,2,0
03.19,30,250,2,0
03.20,80,330,2,0
03.21,79,409,2,0
03.22,64,473,5,1
03.23,95,568,5,1
03.24,20,588,5,1
03.25,60,648,5,2
03.26,91,739,5,2
03.27,63,802,5,2
03.28,88,890,82,2
03.29,73,963,114,2
03.30,57,1020,135,2
03.31,115,1135,198,2
04.01,85,1220,225,2
04.02,99,1319,284,4
04.03,45,1364,309,4
04.04,53,1417,396,4
04.05,69,1486,428,4
04.06,76,1562,460,4
04.07,24,1586,559,6
04.08,30,1616,633,6
04.09,0,1616,633,6
04.10,59,1675,751,6
04.11,14,1689,841,7
04.12,12,1701,889,8
04.13,0,1701,889,8
04.14,10,1711,933,8
04.15,16,1727,1077,8
04.16,0,1727,1077,8
04.17,27,1754,1224,9
04.18,6,1760,1291,9
04.19,11,1771,1291,9
04.20,2,1773,1362,9
04.21,5,1778,1417,10
04.22,7,1785,1462,10
04.23,4,1789,1509,10
04.24,0,1789,1542,10
04.25,1,1790,1570,10
04.26,2,1792,1608,10
04.27,0,1792,1608,10
04.28,3,1795,1624,10
04.29,2,1797,1656,10
04.30,0,1797,1656,10
05.01,0,1797,1670,10
05.02,1,1798,1706,10
05.03,0,1798,1706,10
05.04,1,1799,1717,10
05.05,0,1799,1723,10
05.06,0,1799,1750,10
05.07,0,1799,1750,10
05.08,2,1801,1755,10
05.09,0,1801,1765,10
05.10,0,1801,1773,10
05.11,0,1801,1773,10
05.12,0,1801,1776,10
05.13,1,1802,1780,10
05.14,0,1802,1780,10
05.15,0,1802,1782,10
05.16,0,1802,1786,10
05.17,0,1802,1786,10
05.18,0,1802,1786,10
05.19,0,1802,1789,10
05.20,1,1803,1789,10
05.21,0,1803,1789,10
05.22,0,1803,1790,10
05.23,1,1804,1791,10
05.24,0,1804,1791,10
05.25,0,1804,1791,10
05.26,0,1804,1792,10
05.27,1,1805,1792,10
05.28,0,1805,1792,10
05.29,0,1805,1794,10
05.30,1,1806,1794,10
05.31,0,1806,1794,10
06.01,0,1806,1794,10
06.02,0,1806,1794,10
06.03,0,1806,1794,10
06.04,0,1806,1794,10
06.05,0,1806,1794,10
06.06,0,1806,1794,10
06.07,1,1807,1794,10
06.08,0,1807,1794,10
06.09,0,1807,1794,10
06.10,0,1807,1794,10
06.11,0,1807,1794,10
06.12,0,1807,1794,10
06.13,1,1808,1794,10
06.14,2,1810,1796,10
06.15,0,1810,1796,10
06.16,2,1812,1796,10
06.17,3,1815,1797,10
06.18,1,1816,1801,10
06.19,3,1819,1801,10
06.20,3,1822,1801,10
06.21,1,1823,1805,10
06.22,0,1823,1805,10
06.23,1,1824,1805,10
06.24,0,1824,1806,10
06.25,6,1830,1811,10
06.26,2,1832,1813,10
06.27,4,1836,1814,10
06.28,0,1836,1814,10
06.29,2,1838,1816,10
06.30,4,1842,1819,10
07.01,5,1847,1823,10
07.02,3,1850,1828,10
07.03,0,1850,1828,10
07.04,5,1855,1832,10
07.05,5,1860,1833,10
07.06,6,1866,1840,10
07.07,7,1873,1847,10
07.08,7,1880,1850,10
07.09,2,1882,1854,10
07.10,0,1882,1854,10
07.11,6,1888,1860,10
07.12,8,1896,1865,10
07.13,4,1900,1871,10
07.14,5,1905,1882,10
07.15,6,1911,1885,10
07.16,0,1911,1885,10
07.17,5,1916,1895,10
07.18,6,1922,1902,10
07.19,8,1930,1907,10
07.20,0,1930,1907,10
07.21,0,1930,1907,10
07.22,-90,1840,1822,10
