date,confirm_add,confirm,heal,dead
03.21,0,4,0,0
03.22,0,4,0,0
03.23,0,4,0,0
03.24,0,4,0,0
03.25,1,5,1,0
03.26,0,5,1,0
03.27,4,9,1,0
03.28,1,10,1,0
03.29,0,10,1,0
03.30,4,14,1,0
03.31,0,14,1,0
04.01,1,15,1,0
04.02,6,21,1,1
04.03,3,24,1,1
04.04,0,24,0,3
04.05,4,28,0,4
04.06,1,29,4,5
04.07,4,33,5,5
04.08,3,36,5,6
04.09,4,40,5,7
04.10,1,41,5,8
04.11,1,42,5,8
04.12,4,46,5,8
04.13,1,47,6,8
04.14,2,49,6,8
04.15,0,49,6,8
04.16,4,53,6,8
04.17,0,53,6,8
04.18,1,54,9,9
04.19,1,55,10,9
04.20,5,60,11,9
04.21,0,60,11,9
04.22,5,65,12,9
04.23,5,70,12,9
04.24,2,72,14,11
04.25,1,73,15,11
04.26,5,78,15,11
04.27,2,80,22,11
04.28,0,80,22,11
04.29,0,80,23,11
04.30,0,80,25,11
05.01,1,81,25,11
05.02,1,82,24,11
05.03,0,82,24,11
05.04,1,83,24,11
05.05,0,83,25,11
05.06,6,89,26,11
05.07,3,92,26,11
05.08,0,92,26,11
05.09,0,92,31,11
05.10,0,92,37,11
05.11,0,92,37,11
05.12,1,93,39,11
05.13,0,93,39,11
05.14,1,94,41,11
05.15,2,96,41,11
05.16,0,96,41,11
05.17,0,96,42,11
05.18,0,96,42,11
05.19,0,96,43,11
05.20,0,96,43,11
05.21,1,97,43,11
05.22,0,97,44,11
05.23,0,97,44,11
05.24,3,100,45,11
05.25,0,100,46,11
05.26,0,100,46,11
05.27,0,100,46,11
05.28,0,100,46,11
05.29,1,101,47,11
05.30,1,102,48,11
05.31,0,102,48,11
06.01,0,102,48,11
06.02,0,102,49,11
06.03,0,102,49,11
06.04,0,102,55,11
06.05,0,102,55,11
06.06,0,102,55,11
06.07,1,103,62,11
06.08,0,103,62,11
06.09,0,103,64,11
06.10,0,103,64,11
06.11,0,103,67,11
06.12,0,103,68,11
06.13,0,103,68,11
06.14,0,103,68,11
06.15,0,103,68,11
06.16,0,103,68,11
06.17,1,104,72,11
06.18,0,104,72,11
06.19,0,104,74,11
06.20,0,104,74,11
06.21,0,104,74,11
06.22,0,104,77,11
06.23,0,104,77,11
06.24,0,104,83,11
06.25,0,104,83,11
06.26,0,104,84,11
06.27,0,104,84,11
06.28,0,104,87,11
06.29,0,104,87,11
06.30,0,104,87,11
07.01,0,104,87,11
07.02,0,104,89,11
07.03,0,104,89,11
07.04,0,104,89,11
07.05,0,104,89,11
07.06,0,104,89,11
07.07,0,104,89,11
07.08,0,104,89,11
07.09,2,106,89,11
07.10,1,107,89,11
07.11,1,108,89,11
07.12,3,111,89,11
07.13,0,111,89,11
07.14,2,113,91,11
07.15,3,116,91,11
07.16,3,119,91,11
07.17,5,124,91,11
07.18,5,129,91,11
07.19,9,138,91,11
07.20,15,153,91,11
07.21,21,174,91,11
07.22,20,194,91,11
